Name,TEAMTEAM,WW,LL,ERAERA,Games,GSGS,CGCG,SHOSHO,SVSV,SVOSVO,IPIP,HH,RR,ERER,HRHR,HBHB,BBBB,SOSO,WHIPWHIP,AVGAVG
7TylerT ClippardClippardP7‌‌‌,WSH,7,4,2.18,75,0,0,0,1,7,70.1,47,22,17,5,1,23,82,1.00,.188
7MikeM DunnDunnP7‌‌‌,MIA,10,6,3.16,75,0,0,0,1,4,57.0,47,25,20,4,4,22,67,1.21,.220
7AdamA OttavinoOttavinoP7‌‌‌,COL,1,4,3.60,75,0,0,0,1,6,65.0,67,26,26,6,4,16,70,1.28,.271
10RexR BrothersBrothersP10‌‌‌,COL,4,6,5.59,74,0,0,0,0,6,56.1,65,38,35,7,2,39,55,1.85,.288
10ZachZ DukeDukeP10‌‌‌,MIL,5,1,2.45,74,0,0,0,0,4,58.2,49,19,16,3,0,17,74,1.13,.223
10KevinK JepsenJepsenP10‌‌‌,LAA,0,2,2.63,74,0,0,0,2,4,65.0,45,19,19,4,2,23,75,1.05,.192
13NealN CottsCottsP13‌‌‌,TEX,2,9,4.32,73,0,0,0,2,9,66.2,66,33,32,6,3,23,63,1.34,.257
13JakeJ DiekmanDiekmanP13‌‌‌,PHI,5,5,3.80,73,0,0,0,0,4,71.0,66,36,30,4,3,35,100,1.42,.248
13CaseyC FienFienP13‌‌‌,MIN,5,6,3.98,73,0,0,0,1,5,63.1,64,29,28,7,0,10,51,1.17,.262
13JustinJ GrimmGrimmP13‌‌‌,CHC,5,2,3.78,73,0,0,0,0,1,69.0,59,32,29,4,4,27,70,1.25,.230
13SethS ManessManessP13‌‌‌,STL,6,4,2.91,73,0,0,0,3,3,80.1,77,29,26,7,2,11,55,1.10,.261
13JakeJ McGeeMcGeeP13‌‌‌,TB,5,2,1.89,73,0,0,0,19,23,71.1,48,15,15,2,2,16,90,0.90,.189
13AndrewA MillerMillerP13‌‌‌,BAL,5,5,2.02,73,0,0,0,1,2,62.1,33,16,14,3,5,17,103,0.80,.153
13MarcM RzepczynskiRzepczynskiP13‌‌‌,CLE,0,3,2.74,73,0,0,0,1,3,46.0,42,19,14,1,3,19,46,1.33,.246
13CarlosC TorresTorresP13‌‌‌,NYM,8,6,3.06,73,1,0,0,2,5,97.0,89,35,33,11,2,38,96,1.31,.246
22AlA AlburquerqueAlburquerqueP22‌‌‌,DET,3,1,2.51,72,0,0,0,1,1,57.1,46,16,16,7,3,21,63,1.17,.219
22LukeL GregersonGregersonP22‌‌‌,OAK,5,5,2.12,72,0,0,0,3,11,72.1,58,20,17,6,1,15,59,1.01,.220
22MarkM MelanconMelanconP22‌‌‌,PIT,3,5,1.90,72,0,0,0,33,37,71.0,51,15,15,2,3,11,71,0.87,.195
22DanD OteroOteroP22‌‌‌,OAK,8,2,2.28,72,0,0,0,1,4,86.2,80,24,22,4,2,15,45,1.10,.247
