Name,TEAMTEAM,WW,LL,ERAERA,Games,GSGS,CGCG,SHOSHO,SVSV,SVOSVO,IPIP,HH,RR,ERER,HRHR,HBHB,BBBB,SOSO,WHIPWHIP,AVGAVG
16StefanS CrichtonCrichtonP16‌‌‌,ARI,2,2,2.42,26,0,0,0,5,7,26.0,22,7,7,1,4,9,23,1.19,.229
16EdwinE DíazDiazP16‌‌‌,NYM,2,1,1.75,26,0,0,0,6,10,25.2,18,6,5,2,2,14,50,1.25,.191
16CarlosC EstévezEstevezP16‌‌‌,COL,1,3,7.50,26,0,0,0,1,4,24.0,33,21,20,6,3,9,27,1.75,.317
16BryanB GarciaGarciaP16‌‌‌,DET,2,1,1.66,26,0,0,0,4,6,21.2,18,6,4,0,1,10,12,1.29,.222
16YusmeiroY PetitPetitP16‌‌‌,OAK,2,1,1.66,26,0,0,0,0,0,21.2,19,4,4,3,0,5,17,1.11,.232
16JoshJ StaumontStaumontP16‌‌‌,KC,2,1,2.45,26,0,0,0,0,0,25.2,20,8,7,2,3,16,37,1.40,.215
25RyanR BrasierBrasierP25‌‌‌,BOS,1,0,3.96,25,1,0,0,0,2,25.0,24,12,11,2,0,11,30,1.40,.245
1AlexA ClaudioClaudioP1‌‌‌,MIL,2,2,4.06,83,0,0,0,0,3,62.0,57,29,28,8,6,24,44,1.31,.246
2AdamA KolarekKolarekP2‌‌‌,LAD,6,3,3.27,80,0,0,0,1,1,55.0,48,22,20,7,3,16,45,1.16,.229
2YusmeiroY PetitPetitP2‌‌‌,OAK,5,3,2.71,80,0,0,0,0,2,83.0,57,25,25,11,0,10,71,0.81,.194
4WanderW SueroSueroP4‌‌‌,WSH,6,9,4.54,78,0,0,0,1,7,71.1,64,36,36,5,3,26,81,1.26,.242
5AndrewA ChafinChafinP5‌‌‌,ARI,2,2,3.76,77,0,0,0,0,4,52.2,52,23,22,6,2,18,68,1.33,.257
6JakeJ DiekmanDiekmanP6‌‌‌,OAK,1,7,4.65,76,0,0,0,0,2,62.0,49,34,32,3,11,39,84,1.42,.215
6CraigC StammenStammenP6‌‌‌,SD,8,7,3.29,76,0,0,0,4,13,82.0,80,36,30,13,2,15,73,1.16,.251
8LiamL HendriksHendriksP8‌‌‌,OAK,4,4,1.80,75,2,0,0,25,32,85.0,61,18,17,5,2,21,124,0.96,.201
9BuckB FarmerFarmerP9‌‌‌,DET,6,6,3.72,73,1,0,0,0,3,67.2,62,32,28,8,5,24,73,1.27,.247
9MichaelM LorenzenLorenzenP9‌‌‌,CIN,1,4,2.92,73,0,0,0,7,11,83.1,68,29,27,9,2,28,85,1.15,.221
9AndrewA MillerMillerP9‌‌‌,STL,5,6,4.45,73,0,0,0,6,11,54.2,45,32,27,11,8,27,70,1.32,.225
9AdamA OttavinoOttavinoP9‌‌‌,NYY,6,5,1.90,73,0,0,0,2,9,66.1,47,17,14,5,2,40,88,1.31,.198
9KyleK RyanRyanP9‌‌‌,CHC,4,2,3.54,73,0,0,0,0,2,61.0,55,26,24,5,1,29,58,1.38,.243
9BrandonB WorkmanWorkmanP9‌‌‌,BOS,10,1,1.88,73,0,0,0,16,22,71.2,29,18,15,1,2,45,104,1.03,.123
15TyT ButtreyButtreyP15‌‌‌,LAA,6,7,3.98,72,0,0,0,2,6,72.1,69,34,32,8,5,23,84,1.27,.247
15JuniorJ GuerraGuerraP15‌‌‌,MIL,9,5,3.55,72,0,0,0,3,11,83.2,58,35,33,11,4,36,77,1.12,.194
15JaredJ HughesHughesP15‌‌‌,PHI,5,5,4.04,72,0,0,0,1,4,71.1,57,37,32,13,2,27,54,1.18,.224
15TommyT KahnleKahnleP15‌‌‌,NYY,3,2,3.67,72,0,0,0,0,5,61.1,45,27,25,9,2,20,88,1.06,.200
15RichardR RodríguezRodriguezP15‌‌‌,PIT,4,5,3.72,72,0,0,0,1,5,65.1,65,30,27,14,2,23,63,1.35,.252
20PedroP BáezBaezP20‌‌‌,LAD,7,2,3.10,71,0,0,0,1,7,69.2,43,30,24,6,4,23,69,0.95,.174
20CarlosC EstévezEstevezP20‌‌‌,COL,2,2,3.75,71,0,0,0,0,2,72.0,70,34,30,12,1,23,81,1.29,.250
20HanselH RoblesRoblesP20‌‌‌,LAA,5,1,2.48,71,1,0,0,23,27,72.2,58,20,20,6,0,16,75,1.02,.221
20ChazC RoeRoeP20‌‌‌,TB,1,3,4.06,71,0,0,0,1,6,51.0,49,27,23,3,1,31,65,1.57,.251
20JoakimJ SoriaSoriaP20‌‌‌,OAK,2,4,4.30,71,1,0,0,1,6,69.0,51,33,33,9,3,20,79,1.03,.202
25MattM BarnesBarnesP25‌‌‌,BOS,5,4,3.78,70,0,0,0,4,12,64.1,51,29,27,8,2,38,110,1.38,.210
1BradB ZieglerZieglerP1‌‌‌,ARI,2,6,3.91,82,0,0,0,10,12,73.2,71,34,32,8,2,25,50,1.30,.257
2SteveS CishekCishekP2‌‌‌,CHC,4,3,2.18,80,0,0,0,4,7,70.1,45,19,17,5,9,28,78,1.04,.181
