Name,Team,Year,W,L,ERA,Games,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
5AndrewA ChafinChafinP5‌‌‌,AZ,2019.0,2.0,2.0,3.76,77.0,0.0,0.0,0.0,0.0,4.0,52.2,52.0,23.0,22.0,6.0,2.0,18.0,68.0,1.33,0.257
6JakeJ DiekmanDiekmanP6‌‌‌,OAK,2019.0,1.0,7.0,4.65,76.0,0.0,0.0,0.0,0.0,2.0,62.0,49.0,34.0,32.0,3.0,11.0,39.0,84.0,1.42,0.215
6CraigC StammenStammenP6‌‌‌,SD,2019.0,8.0,7.0,3.29,76.0,0.0,0.0,0.0,4.0,13.0,82.0,80.0,36.0,30.0,13.0,2.0,15.0,73.0,1.16,0.251
8LiamL HendriksHendriksP8‌‌‌,OAK,2019.0,4.0,4.0,1.8,75.0,2.0,0.0,0.0,25.0,32.0,85.0,61.0,18.0,17.0,5.0,2.0,21.0,124.0,0.96,0.201
9BuckB FarmerFarmerP9‌‌‌,DET,2019.0,6.0,6.0,3.72,73.0,1.0,0.0,0.0,0.0,3.0,67.2,62.0,32.0,28.0,8.0,5.0,24.0,73.0,1.27,0.247
9MichaelM LorenzenLorenzenP9‌‌‌,CIN,2019.0,1.0,4.0,2.92,73.0,0.0,0.0,0.0,7.0,11.0,83.1,68.0,29.0,27.0,9.0,2.0,28.0,85.0,1.15,0.221
9AndrewA MillerMillerP9‌‌‌,STL,2019.0,5.0,6.0,4.45,73.0,0.0,0.0,0.0,6.0,11.0,54.2,45.0,32.0,27.0,11.0,8.0,27.0,70.0,1.32,0.225
9AdamA OttavinoOttavinoP9‌‌‌,NYY,2019.0,6.0,5.0,1.9,73.0,0.0,0.0,0.0,2.0,9.0,66.1,47.0,17.0,14.0,5.0,2.0,40.0,88.0,1.31,0.198
9KyleK RyanRyanP9‌‌‌,CHC,2019.0,4.0,2.0,3.54,73.0,0.0,0.0,0.0,0.0,2.0,61.0,55.0,26.0,24.0,5.0,1.0,29.0,58.0,1.38,0.243
9BrandonB WorkmanWorkmanP9‌‌‌,BOS,2019.0,10.0,1.0,1.88,73.0,0.0,0.0,0.0,16.0,22.0,71.2,29.0,18.0,15.0,1.0,2.0,45.0,104.0,1.03,0.123
